Possible float32 values
=======================
0x0160 :        0.980000
0x0164 :        2.000000
0x0168 :      298.149994
0x016C :      293.149994
0x0170 :      293.149994
0x0174 :        1.000000
0x017C :        0.500000
0x0180 :        6.000000
0x0198 :    16061.459961
0x019C :     1418.900024
0x01A0 :        1.000000
0x01B0 :        0.000000
0x01B4 :        0.000000
0x01B8 :        0.003180
0x01BC :        0.003180
0x01C0 :        0.732000
0x01CC :        4.000000
0x01D0 :      393.149994
0x01D4 :      253.149994
0x01D8 :      403.149994
0x01DC :      233.149994
0x01E0 :      393.149994
0x01E4 :      253.149994
0x01E8 :      423.149994
0x01EC :      213.149994
0x01F0 :        2.000000
0x0214 : 216142020608.000000
0x0218 :        0.000001
0x0238 :        0.000000
0x0248 :        0.000168
0x02D0 :        0.000177
0x02E4 :        0.000000
0x02F4 :       41.900120
0x02F8 :        0.861650
0x0448 :             nan
0x044C :        0.011510
0x0450 : -3098056278933504.000000
0x04A8 :        1.000000
0x04AC :        1.000000
0x04C4 : 55179874674895897715802112.000000
0x04D4 :      307.472504
0x04D8 :      312.199005
0x04DC :      303.000000
0x04E0 :      302.753693
0x04E4 :      302.726776
0x04E8 :      312.161041
0x04EC :      303.364197
0x0568 :             nan
0x057C : 72727783705676194250752.000000
0x0580 : 14248837120.000000
0x0584 :     3397.265869
0x0590 :             nan
0x0594 :        0.011510
0x059C :        1.153700
0x05BC :      307.472504
0x05C0 : 60140829427153518604306087936.000000
0x05D0 : 55179644090594976346406912.000000
0x05D8 :      312.199005
0x05DC : 61997739486081589016654774272.000000
0x05EC : 55179644090594976346406912.000000
0x05F4 :      303.000000
0x05F8 : 60306243443839043895296.000000
0x0608 : 55179644090594976346406912.000000
0x0610 :    19917.000000
0x0614 : 245515077865755595516820848640.000000
0x0624 : 55179870063209879288414208.000000
0x062C :      313.115356
0x0630 : 277017890823186939904.000000
0x0640 : 55179870063209879288414208.000000
0x0648 :      312.161041
0x0654 :    14810.316406
0x065C : 55179644090594976346406912.000000
0x0664 :      303.364197
0x0670 :    14810.316406
0x0678 : 55179644090594976346406912.000000
0x0680 :      304.369843
0x068C :    14810.316406
0x0694 : 55179644090594976346406912.000000
0x06B0 : 55179644090594976346406912.000000
0x06BC : 71837899440905548464128.000000
0x06C0 : 1128049685785288092717940736.000000
0x06CC : 55179644090594976346406912.000000
0x07EC :       54.667133
0x07F0 : 4513243861873392459228119040.000000
0x0800 :       46.000000
0x0814 :        6.000000
0x0828 :       36.000000
0x0850 :      194.000000
0x0854 : 275892026100716404736.000000
0x08B4 :        0.952682
0x08C8 :    18008.000000
0x0B00 : 1995855743262155341824.000000
0x0B1C :   836706.937500
0x0B2C : 1090152252038401420848791552.000000
0x0BC8 :        0.000000
0x0BD4 :        0.000061
0x0BE0 :        0.015686
0x0BEC :        4.015655
0x0BF8 :     1028.008179
0x0C04 :   263170.218750
0x0C10 : 67371608.000000
0x0C1C : 17247139840.000000
0x0C28 : 4415269896192.000000
0x0C34 : 1130309630296064.000000
0x0C40 : 289359402794745856.000000
0x0C4C : 74076042299827027968.000000
0x0C58 : 4740868958988743475200.000000
0x0C64 : 1213662885846682557218816.000000
0x0C70 : 310697846350703324324429824.000000
0x0C7C : 79538686444711913984215744512.000000
0x0CAC :             nan
0x0D48 :       -0.000000
0x0D54 :       -0.000004
0x0D60 :       -0.000980
0x0D6C :       -0.250982
0x0D78 :      -64.251472
0x0D84 :   -16448.384766
0x0D90 : -4210788.500000
0x0D9C : -1077962368.000000
0x0DA8 : -68989624320.000000
0x0DB4 : -17661350117376.000000
0x0DC0 : -4521307777531904.000000
0x0DCC : -1157455340803981312.000000
0x0DD8 : -296308707983307571200.000000
0x0DE4 : -75855065272523757191168.000000
0x0DF0 : -19418905933138118695714816.000000
0x0E10 :       -1.875000
0x0E18 :       -1.875000
0x0E3C :       99.989998
0x0E48 :       -1.000000
0x0E4C :       -1.000000
0x0E50 :       -1.000000
0x0E54 :        0.000050
0x0E78 :       -1.875000
0x0E80 :       -1.875000
0x0E84 :       -1.000000
0x0E88 :       -1.000000
